Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Doxycycline,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Vancomycin,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
strep_throat,Ceftriaxone,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Amoxicillin,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
sinusitis,Amoxicillin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
cholera,Doxycycline,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Amoxicillin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
ear_infection,Doxycycline,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Amoxicillin,Clindamycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Amoxicillin,Ciprofloxacin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Amoxicillin,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Vancomycin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Azithromycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Amoxicillin,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Ceftriaxone,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
typhoid_fever,Vancomycin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Vancomycin,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Ceftriaxone,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
diphtheria,Azithromycin,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
bacterial_meningitis,Azithromycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Azithromycin,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Ceftriaxone,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Amoxicillin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
cholera,Vancomycin,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Amoxicillin,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
ear_infection,Vancomycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Ceftriaxone,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Vancomycin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Azithromycin,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Ceftriaxone,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Vancomycin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Amoxicillin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Vancomycin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Doxycycline,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
urinary_tract_infection,Azithromycin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Amoxicillin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
