Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation,Primary Antibiotic Description
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective against resistant strains; dual therapy minimizes resistance risk.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
cellulitis,Amoxicillin,Clindamycin,Cefalexin,Broad-spectrum coverage and effective against skin bacteria.,A penicillin-type antibiotic with broad-spectrum activity. Widely used for respiratory and urinary infections. Safe for most patients.
syphilis,Penicillin,Doxycycline,Ceftriaxone,Penicillin is the gold standard; others are alternatives for allergy cases.,A beta-lactam antibiotic effective against Gram-positive organisms. Gold standard for syphilis and other infections.
bacterial_pneumonia,Amoxicillin,Azithromycin,Clarithromycin,Covers common pathogens causing community-acquired pneumonia.,A penicillin-type antibiotic with broad-spectrum activity. Widely used for respiratory and urinary infections. Safe for most patients.
lyme_disease,Doxycycline,Amoxicillin,Cefuroxime,Doxycycline is the first line; others cover for intolerance or resistance.,"A tetracycline antibiotic effective against a broad range of bacteria. Commonly used for respiratory infections, skin infections, and tick-borne diseases."
bacterial_conjunctivitis,Erythromycin,Tobramycin,Ofloxacin,Targets common eye pathogens effectively.,"A macrolide antibiotic for respiratory, skin, and eye infections. Effective against atypical bacteria."
strep_throat,Penicillin,Amoxicillin,Cefdinir,Effective against Group A Streptococcus with minimal side effects.,A beta-lactam antibiotic effective against Gram-positive organisms. Gold standard for syphilis and other infections.
urinary_tract_infection,Trimethoprim-Sulfamethoxazole,Nitrofurantoin,Ciprofloxacin,Highly effective for E. coli and common UTI pathogens.,A combination antibiotic targeting folate synthesis in bacteria. First-line for many urinary and respiratory infections.
otitis_media,Amoxicillin,Cefuroxime,Cefdinir,Amoxicillin is standard; alternatives cover resistant strains.,A penicillin-type antibiotic with broad-spectrum activity. Widely used for respiratory and urinary infections. Safe for most patients.
sinusitis,Amoxicillin-Clavulanate,Doxycycline,Cefixime,Broad-spectrum antibiotics target typical bacterial pathogens.,Combines a penicillin antibiotic with a beta-lactamase inhibitor. Broad-spectrum activity against resistant pathogens.
chlamydia,Azithromycin,Doxycycline,Erythromycin,Preferred treatments per WHO guidelines for chlamydial infections.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
