Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation,Primary Antibiotic Description
bacterial_pneumonia,Amoxicillin,Azithromycin,Clarithromycin,Covers common pathogens causing community-acquired pneumonia.,A penicillin-type antibiotic with broad-spectrum activity. Widely used for respiratory and urinary infections. Safe for most patients.
tuberculosis,Isoniazid,Rifampin,Ethambutol,Core components of first-line TB therapy for drug-sensitive cases.,An essential first-line agent for tuberculosis. Targets actively dividing Mycobacterium tuberculosis.
urinary_tract_infection,Trimethoprim-Sulfamethoxazole,Nitrofurantoin,Ciprofloxacin,Highly effective for E. coli and common UTI pathogens.,A combination antibiotic targeting folate synthesis in bacteria. First-line for many urinary and respiratory infections.
lyme_disease,Doxycycline,Amoxicillin,Cefuroxime,Doxycycline is the first line; others cover for intolerance or resistance.,"A tetracycline antibiotic effective against a broad range of bacteria. Commonly used for respiratory infections, skin infections, and tick-borne diseases."
bacterial_conjunctivitis,Erythromycin,Tobramycin,Ofloxacin,Targets common eye pathogens effectively.,"A macrolide antibiotic for respiratory, skin, and eye infections. Effective against atypical bacteria."
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective against resistant strains; dual therapy minimizes resistance risk.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
syphilis,Penicillin,Doxycycline,Ceftriaxone,Penicillin is the gold standard; others are alternatives for allergy cases.,A beta-lactam antibiotic effective against Gram-positive organisms. Gold standard for syphilis and other infections.
strep_throat,Penicillin,Amoxicillin,Cefdinir,Effective against Group A Streptococcus with minimal side effects.,A beta-lactam antibiotic effective against Gram-positive organisms. Gold standard for syphilis and other infections.
chlamydia,Azithromycin,Doxycycline,Erythromycin,Preferred treatments per WHO guidelines for chlamydial infections.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
meningitis,Ceftriaxone,Vancomycin,Ampicillin,Covers major causative bacteria of bacterial meningitis.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
otitis_media,Amoxicillin,Cefuroxime,Cefdinir,Amoxicillin is standard; alternatives cover resistant strains.,A penicillin-type antibiotic with broad-spectrum activity. Widely used for respiratory and urinary infections. Safe for most patients.
bacterial_skin_infection,,,,,
sinusitis,Amoxicillin-Clavulanate,Doxycycline,Cefixime,Broad-spectrum antibiotics target typical bacterial pathogens.,Combines a penicillin antibiotic with a beta-lactamase inhibitor. Broad-spectrum activity against resistant pathogens.
cholera,Doxycycline,Azithromycin,Ciprofloxacin,Quickly reduces bacterial load and disease duration.,"A tetracycline antibiotic effective against a broad range of bacteria. Commonly used for respiratory infections, skin infections, and tick-borne diseases."
typhoid_fever,,,,,
whooping_cough,Azithromycin,Erythromycin,Clarithromycin,Macrolides reduce disease spread and symptom severity.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
legionnaires_disease,Azithromycin,Levofloxacin,Ciprofloxacin,Highly active against Legionella pneumophila.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
scarlet_fever,,,,,
septicemia,,,,,
bacterial_endocarditis,,,,,
anthrax,Ciprofloxacin,Doxycycline,Amoxicillin,First-line treatment for cutaneous and inhalational anthrax.,"A fluoroquinolone with broad-spectrum activity. Often used for UTIs, respiratory infections, and gastrointestinal infections."
diphtheria,Erythromycin,Penicillin,Clindamycin,Targets Corynebacterium diphtheriae effectively.,"A macrolide antibiotic for respiratory, skin, and eye infections. Effective against atypical bacteria."
rheumatic_fever,,,,,
shigellosis,Ciprofloxacin,Azithromycin,Ceftriaxone,Preferred choices for treating Shigella infections effectively.,"A fluoroquinolone with broad-spectrum activity. Often used for UTIs, respiratory infections, and gastrointestinal infections."
plague,Streptomycin,Gentamicin,Doxycycline,Streptomycin remains highly effective; others offer alternatives.,An aminoglycoside antibiotic with activity against Gram-negative and some Gram-positive bacteria. Essential for plague and tuberculosis.
leprosy,,,,,
campylobacteriosis,,,,,
brucellosis,,,,,
trachoma,,,,,
epiglottitis,Ceftriaxone,Ampicillin-Sulbactam,Levofloxacin,Covers Haemophilus influenzae and other causative bacteria.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
